Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-04-30,4478,4050.0,4065.0,4005.0,4035.0,4035.0,134900
2025-05-01,4478,4035.0,4075.0,3895.0,4010.0,4010.0,259800
2025-05-02,4478,3975.0,4025.0,3890.0,3975.0,3975.0,242600
2025-05-07,4478,4000.0,4085.0,3980.0,4025.0,4025.0,189100
2025-05-08,4478,4070.0,4090.0,4025.0,4070.0,4070.0,203200
2025-05-09,4478,4055.0,4115.0,4025.0,4080.0,4080.0,210500
2025-05-12,4478,4080.0,4115.0,4035.0,4065.0,4065.0,140400
2025-05-13,4478,4105.0,4215.0,4085.0,4130.0,4130.0,312900
2025-05-14,4478,4160.0,4190.0,4045.0,4145.0,4145.0,171000
2025-05-15,4478,4145.0,4235.0,4130.0,4150.0,4150.0,381700
2025-05-16,4478,3870.0,3995.0,3730.0,3860.0,3860.0,985900
2025-05-19,4478,3850.0,3855.0,3700.0,3810.0,3810.0,539900
2025-05-20,4478,3800.0,3810.0,3660.0,3690.0,3690.0,443200
2025-05-21,4478,3665.0,3755.0,3625.0,3700.0,3700.0,340000
2025-05-22,4478,3650.0,3705.0,3630.0,3660.0,3660.0,239600
2025-05-23,4478,3675.0,3715.0,3615.0,3670.0,3670.0,328400
2025-05-26,4478,3660.0,3820.0,3645.0,3725.0,3725.0,296000
2025-05-27,4478,3750.0,3760.0,3700.0,3745.0,3745.0,181300
2025-05-28,4478,3770.0,3780.0,3590.0,3590.0,3590.0,270300
2025-05-29,4478,3630.0,3720.0,3585.0,3670.0,3670.0,280800
2025-05-30,4478,3640.0,3695.0,3600.0,3635.0,3635.0,273800
2025-06-02,4478,3640.0,3750.0,3635.0,3735.0,3735.0,319500
2025-06-03,4478,3990.0,4225.0,3965.0,4020.0,4020.0,1317300
2025-06-04,4478,4090.0,4170.0,4055.0,4145.0,4145.0,719200
2025-06-05,4478,4150.0,4275.0,4130.0,4145.0,4145.0,437600
2025-06-06,4478,4155.0,4180.0,3835.0,3855.0,3855.0,627900
2025-06-09,4478,3890.0,3930.0,3810.0,3845.0,3845.0,264300
2025-06-10,4478,3895.0,3900.0,3775.0,3795.0,3795.0,279800
2025-06-11,4478,3750.0,3840.0,3740.0,3755.0,3755.0,343800
2025-06-12,4478,3755.0,3795.0,3710.0,3725.0,3725.0,312700
2025-06-13,4478,3795.0,3800.0,3595.0,3605.0,3605.0,407200
2025-06-16,4478,3645.0,3675.0,3560.0,3670.0,3670.0,254100
2025-06-17,4478,3740.0,3880.0,3705.0,3820.0,3820.0,582000
2025-01-06,7779,182.0,185.0,180.0,182.0,182.0,1814100
2025-01-07,7779,183.0,190.0,181.0,184.0,184.0,1879700
2025-01-08,7779,184.0,186.0,179.0,179.0,179.0,1100200
2025-01-09,7779,179.0,181.0,177.0,181.0,181.0,649100
2025-01-10,7779,178.0,183.0,178.0,181.0,181.0,729200
2025-01-14,7779,180.0,180.0,178.0,178.0,178.0,569800
2025-01-15,7779,179.0,180.0,176.0,179.0,179.0,779100
2025-01-16,7779,180.0,180.0,173.0,173.0,173.0,880500
2025-01-17,7779,173.0,174.0,171.0,172.0,172.0,684800
2025-01-20,7779,173.0,176.0,171.0,175.0,175.0,571600
2025-01-21,7779,175.0,175.0,172.0,174.0,174.0,327100
2025-01-22,7779,175.0,176.0,173.0,174.0,174.0,465100
2025-01-23,7779,173.0,173.0,169.0,169.0,169.0,561800
2025-01-24,7779,169.0,178.0,169.0,175.0,175.0,1175600
2025-01-27,7779,178.0,182.0,177.0,180.0,180.0,633400
2025-01-28,7779,180.0,183.0,179.0,181.0,181.0,470800
2025-01-29,7779,181.0,183.0,179.0,180.0,180.0,571400
2025-01-30,7779,180.0,181.0,176.0,176.0,176.0,576500
2025-01-31,7779,176.0,177.0,174.0,175.0,175.0,299200
2025-02-03,7779,176.0,176.0,171.0,174.0,174.0,578700
2025-02-04,7779,174.0,175.0,171.0,175.0,175.0,582700
2025-02-05,7779,175.0,178.0,173.0,175.0,175.0,581000
2025-02-06,7779,175.0,177.0,174.0,175.0,175.0,584000
2025-02-07,7779,174.0,178.0,173.0,176.0,176.0,563300
2025-02-10,7779,174.0,181.0,174.0,181.0,181.0,719500
2025-02-12,7779,180.0,184.0,179.0,184.0,184.0,836300
2025-02-13,7779,183.0,185.0,180.0,181.0,181.0,818800
2025-02-14,7779,180.0,198.0,180.0,196.0,196.0,2848400
2025-02-17,7779,195.0,196.0,188.0,192.0,192.0,1012700
2025-02-18,7779,195.0,203.0,191.0,197.0,197.0,1363100
2025-02-19,7779,196.0,197.0,191.0,192.0,192.0,790000
2025-02-20,7779,193.0,194.0,188.0,189.0,189.0,478600
2025-02-21,7779,187.0,189.0,186.0,186.0,186.0,377000
2025-02-25,7779,186.0,188.0,184.0,184.0,184.0,568900
2025-02-26,7779,194.0,199.0,184.0,199.0,199.0,1836200
2025-02-27,7779,196.0,197.0,189.0,191.0,191.0,1054300
2025-02-28,7779,190.0,192.0,184.0,184.0,184.0,812300
2025-03-03,7779,188.0,189.0,182.0,187.0,187.0,771700
2025-03-04,7779,183.0,185.0,181.0,181.0,181.0,722400
2025-03-05,7779,182.0,183.0,179.0,182.0,182.0,501300
2025-03-06,7779,184.0,188.0,183.0,184.0,184.0,419000
2025-03-07,7779,181.0,181.0,176.0,177.0,177.0,935400
2025-03-10,7779,180.0,185.0,178.0,185.0,185.0,606300
2025-03-11,7779,182.0,183.0,177.0,183.0,183.0,843100
2025-03-12,7779,183.0,186.0,183.0,185.0,185.0,460000
2025-03-13,7779,186.0,186.0,180.0,180.0,180.0,434600
2025-03-14,7779,183.0,188.0,180.0,185.0,185.0,590400
2025-03-17,7779,188.0,188.0,184.0,184.0,184.0,362200
2025-03-18,7779,186.0,188.0,184.0,186.0,186.0,397800
2025-03-19,7779,186.0,189.0,185.0,187.0,187.0,592500
2025-03-21,7779,187.0,188.0,185.0,185.0,185.0,462600
2025-03-24,7779,188.0,189.0,182.0,183.0,183.0,507400
2025-03-25,7779,185.0,185.0,181.0,182.0,182.0,317900
2025-03-26,7779,184.0,186.0,182.0,184.0,184.0,396700
2025-03-27,7779,186.0,189.0,184.0,188.0,188.0,716700
2025-03-28,7779,188.0,190.0,183.0,183.0,183.0,608200
2025-03-31,7779,180.0,184.0,167.0,175.0,175.0,2069800
2025-04-01,7779,177.0,177.0,171.0,172.0,172.0,681400
2025-04-02,7779,177.0,177.0,170.0,171.0,171.0,708100
